Date,Day,Round,Venue,Result,Squad,Opponent,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int
2022-08-07,Sun,Matchweek 1,Away,W 2–0,Manchester City,West Ham,FW,77,2,0,1,1,5,2,0,0,0,1,0,0,0,0
2022-08-13,Sat,Matchweek 2,Home,W 4–0,Manchester City,Bournemouth,FW,73,0,1,0,0,2,1,0,0,1,0,0,0,0,0
2022-08-21,Sun,Matchweek 3,Away,D 3–3,Manchester City,Newcastle,FW,90,1,0,0,0,4,3,0,0,0,2,0,0,0,0
2022-08-27,Sat,Matchweek 4,Home,W 4–2,Manchester City,Crystal Palace,FW,83,3,0,0,0,7,3,0,0,3,0,1,0,0,0
2022-08-31,Wed,Matchweek 5,Home,W 6–0,Manchester City,Nottingham,FW,68,3,0,0,0,4,3,0,0,1,0,0,1,1,0
2022-09-03,Sat,Matchweek 6,Away,D 1–1,Manchester City,Aston Villa,FW,90,1,0,0,0,3,3,0,0,0,2,1,0,0,0
2022-09-17,Sat,Matchweek 8,Away,W 3–0,Manchester City,Wolves,FW,90,1,0,0,0,2,2,0,0,0,0,0,1,0,0
2022-10-02,Sun,Matchweek 9,Home,W 6–3,Manchester City,Manchester Utd,FW,90,3,2,0,0,6,3,0,0,0,1,0,0,0,1
2022-10-08,Sat,Matchweek 10,Home,W 4–0,Manchester City,Southampton,FW,90,1,0,0,0,5,1,0,0,0,0,0,1,0,0
2022-10-16,Sun,Matchweek 11,Away,L 0–1,Manchester City,Liverpool,FW,90,0,0,0,0,6,4,0,0,1,0,0,0,0,0
2022-10-22,Sat,Matchweek 13,Home,W 3–1,Manchester City,Brighton,FW,79,2,0,1,1,3,2,0,0,2,2,0,1,0,0
2022-11-05,Sat,Matchweek 15,Home,W 2–1,Manchester City,Fulham,,27,1,0,1,1,4,1,1,0,0,1,1,0,0,0
2022-11-12,Sat,Matchweek 16,Home,L 1–2,Manchester City,Brentford,FW,90,0,0,0,0,1,0,1,0,1,0,1,0,0,0
2022-12-28,Wed,Matchweek 17,Away,W 3–1,Manchester City,Leeds United,FW,90,2,0,0,0,8,5,0,0,1,0,0,1,0,0
2022-12-31,Sat,Matchweek 18,Home,D 1–1,Manchester City,Everton,FW,90,1,0,0,0,2,1,1,0,3,2,0,1,0,0
2023-01-05,Thu,Matchweek 19,Away,W 1–0,Manchester City,Chelsea,AM,90,0,0,0,0,3,0,0,0,0,0,0,0,0,1
2023-01-14,Sat,Matchweek 20,Away,L 1–2,Manchester City,Manchester Utd,FW,90,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2023-01-19,Thu,Matchweek 7,Home,W 4–2,Manchester City,Tottenham,FW,89,1,0,0,0,3,2,0,0,0,0,0,0,0,0
2023-01-22,Sun,Matchweek 21,Home,W 3–0,Manchester City,Wolves,AM,60,3,0,1,1,4,4,0,0,0,2,0,0,0,0
2023-02-05,Sun,Matchweek 22,Away,L 0–1,Manchester City,Tottenham,FW,90,0,0,0,0,0,0,0,0,2,2,1,0,0,0
2023-02-12,Sun,Matchweek 23,Home,W 3–1,Manchester City,Aston Villa,AM,45,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2023-02-15,Wed,Matchweek 12,Away,W 3–1,Manchester City,Arsenal,AM,90,1,0,0,0,3,2,0,0,4,1,1,0,1,0
2023-02-18,Sat,Matchweek 24,Away,D 1–1,Manchester City,Nottingham,AM,90,0,0,0,0,2,0,0,0,2,0,0,0,0,0
2023-02-25,Sat,Matchweek 25,Away,W 4–1,Manchester City,Bournemouth,AM,71,1,0,0,0,3,1,0,0,1,0,0,1,0,0
2023-03-04,Sat,Matchweek 26,Home,W 2–0,Manchester City,Newcastle,FW,90,0,1,0,0,2,0,1,0,0,1,0,2,0,0
2023-03-11,Sat,Matchweek 27,Away,W 1–0,Manchester City,Crystal Palace,FW,90,1,0,1,1,5,1,0,0,4,0,1,1,0,0
2023-04-08,Sat,Matchweek 30,Away,W 4–1,Manchester City,Southampton,AM,68,2,0,0,0,3,2,1,0,1,0,0,1,0,0
2023-04-15,Sat,Matchweek 31,Home,W 3–1,Manchester City,Leicester City,AM,45,2,0,1,1,3,2,0,0,0,0,0,0,0,0
2023-04-26,Wed,Matchweek 33,Home,W 4–1,Manchester City,Arsenal,FW,90,1,2,0,0,6,5,0,0,0,2,,0,0,0
2023-04-30,Sun,Matchweek 34,Away,W 2–1,Manchester City,Fulham,AM,90,1,0,1,1,4,2,0,0,2,1,0,0,0,0
2023-05-03,Wed,Matchweek 28,Home,W 3–0,Manchester City,West Ham,AM,90,1,0,0,0,2,1,0,0,0,0,0,1,0,0
2023-05-06,Sat,Matchweek 35,Home,W 2–1,Manchester City,Leeds United,AM,90,0,0,0,0,6,2,0,0,0,1,1,1,0,1
2023-05-14,Sun,Matchweek 36,Away,W 3–0,Manchester City,Everton,FW,77,1,0,0,0,2,1,0,0,0,1,0,0,0,0
2023-05-21,Sun,Matchweek 37,Home,W 1–0,Manchester City,Chelsea,,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2023-05-24,Wed,Matchweek 32,Away,D 1–1,Manchester City,Brighton,FW,90,0,1,0,0,6,1,0,0,1,2,0,0,0,0
