Date,Day,Round,Venue,Result,Squad,Opponent,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int
2023-08-11,Fri,Matchweek 1,Away,W 3–0,Manchester City,Burnley,FW,79,2,0,0,0,4,2,0,0,1,2,0,0,0,0
2023-08-19,Sat,Matchweek 2,Home,W 1–0,Manchester City,Newcastle,FW,90,0,0,0,0,4,2,0,0,2,0,0,0,0,1
2023-08-27,Sun,Matchweek 3,Away,W 2–1,Manchester City,Sheffield United,FW,90,1,0,0,1,8,3,0,0,0,0,1,0,0,0
2023-09-02,Sat,Matchweek 4,Home,W 5–1,Manchester City,Fulham,FW,90,3,1,1,1,4,3,0,0,1,0,0,0,0,0
2023-09-16,Sat,Matchweek 5,Away,W 3–1,Manchester City,West Ham,FW,89,1,0,0,0,9,6,0,0,0,0,0,0,0,0
2023-09-23,Sat,Matchweek 6,Home,W 2–0,Manchester City,Nottingham,FW,90,1,0,0,0,2,1,0,0,1,3,0,1,0,0
2023-09-30,Sat,Matchweek 7,Away,L 1–2,Manchester City,Wolves,FW,90,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2023-10-08,Sun,Matchweek 8,Away,L 0–1,Manchester City,Arsenal,FW,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-21,Sat,Matchweek 9,Home,W 2–1,Manchester City,Brighton,AM,90,1,0,0,0,2,2,0,0,0,1,0,1,0,0
2023-10-29,Sun,Matchweek 10,Away,W 3–0,Manchester City,Manchester Utd,FW,90,2,1,1,1,5,4,0,0,0,2,0,0,0,0
2023-11-04,Sat,Matchweek 11,Home,W 6–1,Manchester City,Bournemouth,FW,45,0,0,0,0,3,0,0,0,0,2,0,0,0,0
2023-11-12,Sun,Matchweek 12,Away,D 4–4,Manchester City,Chelsea,AM,90,2,1,1,1,4,3,0,0,2,1,0,1,0,0
2023-11-25,Sat,Matchweek 13,Home,D 1–1,Manchester City,Liverpool,AM,90,1,0,0,0,5,2,0,0,1,0,0,1,1,0
2023-12-03,Sun,Matchweek 14,Home,D 3–3,Manchester City,Tottenham,AM,90,0,1,0,0,5,0,1,0,1,2,0,0,0,0
2023-12-06,Wed,Matchweek 15,Away,L 0–1,Manchester City,Aston Villa,AM,90,0,0,0,0,2,2,0,0,1,2,0,0,0,0
2024-01-31,Wed,Matchweek 22,Home,W 3–1,Manchester City,Burnley,,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2024-02-05,Mon,Matchweek 23,Away,W 3–1,Manchester City,Brentford,FW,85,0,1,0,0,3,1,0,0,0,0,0,0,0,0
2024-02-10,Sat,Matchweek 24,Home,W 2–0,Manchester City,Everton,FW,90,2,0,0,0,4,2,0,0,1,1,0,1,0,0
2024-02-17,Sat,Matchweek 25,Home,D 1–1,Manchester City,Chelsea,FW,90,0,0,0,0,9,2,0,0,1,0,,0,0,0
2024-02-20,Tue,Matchweek 18,Home,W 1–0,Manchester City,Brentford,FW,90,1,0,0,0,6,4,0,0,1,1,0,0,0,0
2024-02-24,Sat,Matchweek 26,Away,W 1–0,Manchester City,Bournemouth,AM,74,0,0,0,0,4,2,0,0,0,1,0,0,0,0
2024-03-03,Sun,Matchweek 27,Home,W 3–1,Manchester City,Manchester Utd,AM,90,1,0,0,0,4,1,0,0,1,1,0,0,0,0
2024-03-10,Sun,Matchweek 28,Away,D 1–1,Manchester City,Liverpool,AM,90,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2024-03-31,Sun,Matchweek 30,Home,D 0–0,Manchester City,Arsenal,FW,90,0,0,0,0,4,0,0,0,1,3,1,0,0,0
2024-04-06,Sat,Matchweek 32,Away,W 4–2,Manchester City,Crystal Palace,AM,90,1,0,0,0,2,2,0,0,0,0,0,0,0,0
2024-04-13,Sat,Matchweek 33,Home,W 5–1,Manchester City,Luton Town,FW,80,1,0,1,1,5,2,0,0,0,0,0,0,0,1
2024-04-28,Sun,Matchweek 35,Away,W 2–0,Manchester City,Nottingham,,29,1,0,0,0,2,2,0,0,0,0,0,0,0,0
2024-05-04,Sat,Matchweek 36,Home,W 5–1,Manchester City,Wolves,FW,81,4,0,2,2,8,7,0,0,0,3,1,0,0,0
2024-05-11,Sat,Matchweek 37,Away,W 4–0,Manchester City,Fulham,FW,81,0,0,0,0,3,0,0,0,1,3,0,0,1,0
2024-05-14,Tue,Matchweek 34,Away,W 2–0,Manchester City,Tottenham,FW,89,2,0,1,1,2,2,0,0,1,0,0,0,0,0
2024-05-19,Sun,Matchweek 38,Home,W 3–1,Manchester City,West Ham,FW,90,0,0,0,0,4,0,0,0,1,2,3,0,0,0
